LOCATION_ID,STREET_ADDRESS,POSTAL_CODE,CITY,STATE_PROVINCE
1000,1297 Via Cola di Rie,00989,Roma,
1100,93091 Calle della Testa,10934,Venice,
1200,2017 Shinjuku-ku,1689,Tokyo,Tokyo Prefecture
1300,9450 Kamiya-cho,6823,Hiroshima,
1400,2014 Jabberwocky Rd,26192,Southlake,Texas
1500,2011 Interiors Blvd,99236,South San Francisco,California
1600,2007 Zagora St,50090,South Brunswick,New Jersey
1700,2004 Charade Rd,98199,Seattle,Washington
1800,147 Spadina Ave,M5V 2L7,Toronto,Ontario
1900,6092 Boxwood St,YSW 9T2,Whitehorse,Yukon
2000,40-5-12 Laogianggen,190518,Beijing,
2100,1298 Vileparle (E),490231,Bombay,Maharashtra
2200,12-98 Victoria Street,2901,Sydney,New South Wales
2300,198 Clementi North,540198,Singapore,
2400,8204 Arthur St,,London,
2500,"Magdalen Centre, The Oxford Science Park",OX9 9ZB,Oxford,Oxford
2600,9702 Chester Road,09629850293,Stretford,Manchester
2700,Schwanthalerstr. 7031,80925,Munich,Bavaria
2800,Rua Frei Caneca 1360 ,01307-002,Sao Paulo,Sao Paulo
2900,20 Rue des Corps-Saints,1730,Geneva,Geneve
3000,Murtenstrasse 921,3095,Bern,BE
3100,Pieter Breughelstraat 837,3029SK,Utrecht,Utrecht
3200,Mariano Escobedo 9991,11932,Mexico City,"Distrito Federal,"
